event,timestamp,product_id,customer_id
addtocart,1442451714176,3460d6a4-65d2-5c1f-9d4d-04599d23197c,65877248-aab7-5dba-8334-f20bf6c52b12
view,1442451660683,3460d6a4-65d2-5c1f-9d4d-04599d23197c,65877248-aab7-5dba-8334-f20bf6c52b12
view,1434654182290,c3a0d24d-5c48-5f36-b63a-d7c5f711909d,73590980-4ade-5dbc-bf9f-ad945094233d
addtocart,1434654222828,c3a0d24d-5c48-5f36-b63a-d7c5f711909d,73590980-4ade-5dbc-bf9f-ad945094233d
view,1434733878627,51744337-b935-59d7-91de-878f58055242,603fabba-b15a-51ad-bfb4-12364a5dff06
view,1438706317952,6eb5543a-42b2-5adb-b2ba-adc7a12f6024,65877248-aab7-5dba-8334-f20bf6c52b12
view,1438706473766,6eb5543a-42b2-5adb-b2ba-adc7a12f6024,65877248-aab7-5dba-8334-f20bf6c52b12
addtocart,1438706341702,6eb5543a-42b2-5adb-b2ba-adc7a12f6024,65877248-aab7-5dba-8334-f20bf6c52b12
addtocart,1433953212180,84690f72-c83e-5360-9341-372790fe354d,603fabba-b15a-51ad-bfb4-12364a5dff06
view,1433953132828,84690f72-c83e-5360-9341-372790fe354d,603fabba-b15a-51ad-bfb4-12364a5dff06
view,1434587155737,837b2c10-0048-51db-b1c5-6e1b7bb09867,26ee260e-b80c-5462-9453-4cfffc306c6a
addtocart,1434587158946,837b2c10-0048-51db-b1c5-6e1b7bb09867,26ee260e-b80c-5462-9453-4cfffc306c6a
view,1438615972466,e1a256a8-34d8-571b-bfbc-b61071e86883,65877248-aab7-5dba-8334-f20bf6c52b12
addtocart,1439478981873,e1a256a8-34d8-571b-bfbc-b61071e86883,65877248-aab7-5dba-8334-f20bf6c52b12
view,1439478931167,e1a256a8-34d8-571b-bfbc-b61071e86883,65877248-aab7-5dba-8334-f20bf6c52b12
view,1440170760416,e1a256a8-34d8-571b-bfbc-b61071e86883,65877248-aab7-5dba-8334-f20bf6c52b12
view,1440185258420,e1a256a8-34d8-571b-bfbc-b61071e86883,65877248-aab7-5dba-8334-f20bf6c52b12
view,1440171093328,e1a256a8-34d8-571b-bfbc-b61071e86883,65877248-aab7-5dba-8334-f20bf6c52b12
view,1438381317883,e1a256a8-34d8-571b-bfbc-b61071e86883,65877248-aab7-5dba-8334-f20bf6c52b12
view,1438378481137,e1a256a8-34d8-571b-bfbc-b61071e86883,65877248-aab7-5dba-8334-f20bf6c52b12
view,1440121108996,e1a256a8-34d8-571b-bfbc-b61071e86883,ece8d8fa-693e-5168-a2ce-87a568773763
addtocart,1440121360574,e1a256a8-34d8-571b-bfbc-b61071e86883,ece8d8fa-693e-5168-a2ce-87a568773763
view,1440121137048,e1a256a8-34d8-571b-bfbc-b61071e86883,ece8d8fa-693e-5168-a2ce-87a568773763
view,1440121177537,e1a256a8-34d8-571b-bfbc-b61071e86883,ece8d8fa-693e-5168-a2ce-87a568773763
view,1440083549034,e1a256a8-34d8-571b-bfbc-b61071e86883,ece8d8fa-693e-5168-a2ce-87a568773763
view,1440121291981,e1a256a8-34d8-571b-bfbc-b61071e86883,ece8d8fa-693e-5168-a2ce-87a568773763
addtocart,1440178690698,e1a256a8-34d8-571b-bfbc-b61071e86883,ece8d8fa-693e-5168-a2ce-87a568773763
view,1440362963893,e1a256a8-34d8-571b-bfbc-b61071e86883,ece8d8fa-693e-5168-a2ce-87a568773763
view,1440436345624,e1a256a8-34d8-571b-bfbc-b61071e86883,ece8d8fa-693e-5168-a2ce-87a568773763
view,1440432289199,e1a256a8-34d8-571b-bfbc-b61071e86883,ece8d8fa-693e-5168-a2ce-87a568773763
view,1440441669577,e1a256a8-34d8-571b-bfbc-b61071e86883,ece8d8fa-693e-5168-a2ce-87a568773763
view,1440442002593,e1a256a8-34d8-571b-bfbc-b61071e86883,ece8d8fa-693e-5168-a2ce-87a568773763
view,1433278534345,f307cbc1-6749-5644-8f99-0ca5254e3722,a4dbea92-0027-5455-924d-40e51653b79e
view,1433278875900,f307cbc1-6749-5644-8f99-0ca5254e3722,a4dbea92-0027-5455-924d-40e51653b79e
addtocart,1433278876181,f307cbc1-6749-5644-8f99-0ca5254e3722,a4dbea92-0027-5455-924d-40e51653b79e
view,1433279045601,f307cbc1-6749-5644-8f99-0ca5254e3722,a4dbea92-0027-5455-924d-40e51653b79e
view,1440110770230,22471f84-a33e-5f3b-a2ef-4d92e8ee3925,3d560e2c-cab7-5915-94f4-be7ec89b262a
